chargeId,mode,pol,pod,container,amount,currency,min
THC,FCL,,,DRY 20FT,150000,KRW,0
THC,FCL,,,DRY 40FT,210000,KRW,0
THC,FCL,,,REEFER 20FT,250000,KRW,0
THC,FCL,,,REEFER 40FT,375000,KRW,0
THC,FCL,,,OPEN TOP 20FT,180000,KRW,0
THC,FCL,,,OPEN TOP 40FT,250000,KRW,0
THC,FCL,,,FLAT RACK 20FT,180000,KRW,0
THC,FCL,,,FLAT RACK 40FT,250000,KRW,0
THC,FCL,,,DANGEROUS 20FT,180000,KRW,0
THC,FCL,,,DANGEROUS 40FT,250000,KRW,0
PORT_SAFETY,FCL,,,20FT,243,KRW,0
PORT_SAFETY,FCL,,,40FT,486,KRW,0
PFS,FCL,,,20FT,259,KRW,0
PFS,FCL,,,40FT,518,KRW,0
SEAL,FCL,,,ALL,8000,KRW,0
WFG,FCL,부산,,20FT,4429,KRW,0
WFG,FCL,부산,,40FT,8858,KRW,0
WFG,FCL,인천,,20FT,4200,KRW,0
WFG,FCL,인천,,40FT,8400,KRW,0
WFG,FCL,평택,,20FT,2190,KRW,0
WFG,FCL,평택,,40FT,4380,KRW,0
WFG,FCL,광양,,20FT,1370,KRW,0
WFG,FCL,광양,,40FT,2740,KRW,0
WFG,FCL,울산,,20FT,1370,KRW,0
WFG,FCL,울산,,40FT,2740,KRW,0
WFG,FCL,대산,,20FT,2200,KRW,0
WFG,FCL,대산,,40FT,4400,KRW,0
WFG,FCL,포항,,20FT,1371,KRW,0
WFG,FCL,포항,,40FT,2742,KRW,0
